Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992752011095,VIT 330ML,Pcs,7.00,IDR,10.500.00
8993190912401,AMIDIS 1500ML,Pcs,2.00,IDR,9.000.00
8999510785465,PRISTINE 600ML,Pcs,13.00,IDR,45.500.00
8999510785540,PRISTINE 400 ML,Pcs,1.00,IDR,3.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,68.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
"",Total BERAS KARUNG :,,,IDR,65.000.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
7622300335809,OREO SOFT CAKE 14G,Pcs,1.00,IDR,1.500.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,7.00,IDR,10.500.00
7622300761349,OREO MINI VANILA 67 GR,Pcs,1.00,IDR,7.500.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,68.00,IDR,102.000.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,6.00,IDR,21.000.00
8887229020055,UNIBIS SHORTCAKE CHOCOLATE 225GR,Pcs,1.00,IDR,7.500.00
8888166330306,NISSIN LEMONIA 130G,Pcs,2.00,IDR,13.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,6.00,IDR,6.000.00
8888166842625,MONDE GENJI RAISINPIE 85 G,Pcs,2.00,IDR,15.000.00
8888166989634,MONDE SERENA SNACK 50G,Pcs,5.00,IDR,20.000.00
8888166989832,MONDE SOFT PIE STRW 105 G,Pcs,1.00,IDR,8.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8888166991484,NISSIN COCONUT 200GR,Pcs,2.00,IDR,17.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,1.00,IDR,8.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,4.00,IDR,4.000.00
8991001781222,TWISTER COKLAT 7GR,Pcs,1.00,IDR,500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,4.00,IDR,26.000.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,2.00,IDR,7.000.00
8991002312203,OATBITS ALMOND 285GR,Pcs,1.00,IDR,3.500.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,1.00,IDR,500.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,3.00,IDR,3.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,1.00,IDR,3.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,8.00,IDR,24.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,2.00,IDR,3.000.00
8992760223015,OREO CHOCOLATE CREME 150G,Pcs,1.00,IDR,7.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,2.00,IDR,3.000.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,3.00,IDR,19.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,27.00,IDR,27.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,1.00,IDR,7.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992802063012,FITBAR FRUITS RASPBERY,Pcs,3.00,IDR,13.500.00
8992802063173,FITBAR COKLAT 24GR,Pcs,6.00,IDR,27.000.00
8992802090018,ZEE BAR COKLAT 20GR,Pcs,2.00,IDR,6.000.00
8992802090025,ZEE BAR RS VANILA 20GR,Pcs,5.00,IDR,15.000.00
8992839913854,UBM CREAM CRACKER 260 G,Pcs,2.00,IDR,17.000.00
8992942120484,KINO SNKIT PIA100 KEJU 75GR,Pcs,1.00,IDR,6.000.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,5.00,IDR,7.500.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,1.00,IDR,1.500.00
8993175531863,RICHEESE NABATI KRIM KEJU10G,Pcs,2.00,IDR,1.000.00
8993175532464,RICHESE NABATI WFR KEJU 75GR,Pcs,2.00,IDR,10.000.00
8993175537872,RICHESE ROLL KEJU 43GR,Pcs,1.00,IDR,2.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,4.00,IDR,2.000.00
8994075230863,MOMOGI STICK CAPPUCINO 10 G,Pcs,9.00,IDR,4.500.00
8994755010303,TIMTAM BISC COKLAT 19GR,Pcs,17.00,IDR,17.000.00
