"",,AGAR,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992933212112,NUTRIJEL JERUK 30GR,Pcs,1.00,IDR,5.000.00
"",Total AGAR :,,,IDR,5.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,2.00,IDR,55.000.00
8993190912401,AMIDIS 1500ML,Pcs,4.00,IDR,18.000.00
8999510785465,PRISTINE 600ML,Pcs,25.00,IDR,87.500.00
8999510785540,PRISTINE 400 ML,Pcs,1.00,IDR,3.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,163.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,2.00,IDR,130.000.00
B0010,BERAS SWG 10 KG,Pcs,1.00,IDR,122.500.00
"",Total BERAS KARUNG :,,,IDR,252.500.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
749921040305,WRP FRUIT BAR APRICOTRAISIN20GR,Pcs,1.00,IDR,4.500.00
7622210609359,BELVITA SUSU&SEREAL 4X20G,Pcs,2.00,IDR,15.000.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,2.00,IDR,3.000.00
7622300136055,OREO STRAWBERRY CR150G,Pcs,1.00,IDR,7.500.00
7622300335809,OREO SOFT CAKE 14G,Pcs,8.00,IDR,12.000.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,8.00,IDR,12.000.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,2.00,IDR,3.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,40.00,IDR,60.000.00
8887229020055,UNIBIS SHORTCAKE CHOCOLATE 225GR,Pcs,1.00,IDR,7.500.00
8887229030337,UNIBIS CHOCOLATE CREAM 208GR,Pcs,1.00,IDR,6.000.00
8887229160218,UNIBIS SEEHONGPUFF 270GR,Pcs,1.00,IDR,6.500.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,3.00,IDR,3.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,1.00,IDR,1.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,4.00,IDR,32.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,7.00,IDR,7.000.00
8991001780492,SELAMAT WFR COKLAT 189GR,Pcs,1.00,IDR,12.500.00
8991001781000,TWISTER CHOCO 20GR,Pcs,1.00,IDR,2.000.00
8991002301825,LOVY COOKIES COFFECINO 30GR,Pcs,1.00,IDR,4.500.00
8991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002312203,OATBITS ALMOND 285GR,Pcs,1.00,IDR,3.500.00
8991002323063,LOVY COEKIES CHOCOBUTTER 30GR,Pcs,4.00,IDR,18.000.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,4.00,IDR,4.000.00
"",,BISKUIT,,,
