Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,1.00,IDR,24.500.00
8992752011095,VIT 330ML,Pcs,5.00,IDR,7.500.00
8993190912401,AMIDIS 1500ML,Pcs,10.00,IDR,45.000.00
8999510785465,PRISTINE 600ML,Pcs,1.00,IDR,3.500.00
8999510785540,PRISTINE 400 ML,Pcs,1.00,IDR,3.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,83.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B0010,BERAS SWG 10 KG,Pcs,1.00,IDR,122.500.00
B0098,BERAS SWG 25KG,Pcs,1.00,IDR,295.000.00
"",Total BERAS KARUNG :,,,IDR,417.500.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
4893049120008,KRAFT RITZ SANDCRACKER118G,Pcs,1.00,IDR,7.500.00
7622210462534,OREO MINI STRAWBERY 67GR,Pcs,1.00,IDR,7.500.00
7622300136055,OREO STRAWBERRY CR150G,Pcs,1.00,IDR,7.500.00
7622300335809,OREO SOFT CAKE 14G,Pcs,8.00,IDR,12.000.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,11.00,IDR,16.500.00
7622300484071,OREO GOLDEN 137 GRAM,Pcs,4.00,IDR,30.000.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,9.00,IDR,13.500.00
7622300761349,OREO MINI VANILA 67 GR,Pcs,1.00,IDR,7.500.00
7622300761363,OREO MINI COKLAT 67GR,Pcs,1.00,IDR,7.500.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,71.00,IDR,106.500.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,6.00,IDR,21.000.00
8888166330306,NISSIN LEMONIA 130G,Pcs,3.00,IDR,19.500.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,14.00,IDR,14.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,1.00,IDR,8.000.00
8991001790200,TWISTER STRAWBERY 20GR,Pcs,1.00,IDR,2.000.00
8991002312111,OATBITS RAISIN 132 G,Pcs,4.00,IDR,26.000.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,14.00,IDR,14.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,5.00,IDR,2.500.00
