Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,4.00,IDR,110.000.00
8992752011095,VIT 330ML,Pcs,1.00,IDR,1.500.00
8993190912401,AMIDIS 1500ML,Pcs,2.00,IDR,9.000.00
8999510785465,PRISTINE 600ML,Pcs,16.00,IDR,56.000.00
8999510785540,PRISTINE 400 ML,Pcs,15.00,IDR,45.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,221.500.00
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
0010,BERAS SWG 10 KG,Pcs,1.00,IDR,122.500.00
0098,BERAS SWG 25KG,Pcs,2.00,IDR,590.000.00
"",Total BERAS KARUNG :,,,IDR,777.500.00
"",,BISKUIT,,,
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
49921040305,WRP FRUIT BAR APRICOTRAISIN20GR,Pcs,1.00,IDR,4.500.00
622210609359,BELVITA SUSU&SEREAL 4X20G,Pcs,1.00,IDR,7.500.00
622300136048,OREO STRAWBERRY CREME 294 G,Pcs,2.00,IDR,3.000.00
622300335809,OREO SOFT CAKE 14G,Pcs,10.00,IDR,15.000.00
622300405588,KRAFT KEJU CAKE 16 G,Pcs,10.00,IDR,15.000.00
622300442477,OREO ICECREAM BLBR 294 G,Pcs,4.00,IDR,6.000.00
622300442507,OREO ICE CREAM 137 G,Pcs,1.00,IDR,7.500.00
622300484095,OREO GOLDEN 294 GRAM,Pcs,7.00,IDR,10.500.00
886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,36.00,IDR,54.000.00
886015203115,GOODTIME CHOCO CHIP CHOCO 80GR,Pcs,1.00,IDR,8.500.00
886015414061,NYAM NYAM CHOCO 18GR,Pcs,4.00,IDR,14.000.00
887229020123,UNIBIS SHORTCAKE TIRAMISU 225GR,Pcs,1.00,IDR,7.500.00
888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,1.00,IDR,8.500.00
888166607132,KHONGGUAN CLASIC 350GR,Pcs,1.00,IDR,16.000.00
888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,3.00,IDR,3.000.00
888166989634,MONDE SERENA SNACK 50G,Pcs,1.00,IDR,4.000.00
888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
888166991484,NISSIN COCONUT 200GR,Pcs,2.00,IDR,17.000.00
991001770301,SELAMAT WFR BLACK VANILA 189GR,Pcs,2.00,IDR,25.000.00
991001770417,SELAMAT WFR COKLAT 18GR,Pcs,11.00,IDR,11.000.00
991001780492,SELAMAT WFR COKLAT 189GR,Pcs,1.00,IDR,12.500.00
991001781000,TWISTER CHOCO 20GR,Pcs,2.00,IDR,4.000.00
991001781222,TWISTER COKLAT 7GR,Pcs,8.00,IDR,4.000.00
991001790071,TWISTER VANILA 20GR,Pcs,3.00,IDR,6.000.00
991001790200,TWISTER STRAWBERY 20GR,Pcs,3.00,IDR,6.000.00
991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
991002312135,OATBITS VITAFRUIT 121 G,Pcs,1.00,IDR,6.500.00
991002312166,OATBITS KACANG IJO 285 GR,Pcs,1.00,IDR,3.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991002312203,OATBITS ALMOND 285GR,Pcs,3.00,IDR,10.500.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,10.00,IDR,10.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,14.00,IDR,42.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,29.00,IDR,87.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,9.00,IDR,13.500.00
8992760121083,OREO DOUBLE DELIGHT 294G,Pcs,7.00,IDR,10.500.00
8992760221028,OREO CHOCOLATE 137G,Pcs,1.00,IDR,7.500.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,1.00,IDR,6.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,2.00,IDR,2.000.00
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,4.00,IDR,28.000.00
8992802063029,FITBAR NUTS MEDE 24GR,Pcs,1.00,IDR,4.500.00
8992839690014,UBM MARIE SUSU 35GR,Pcs,1.00,IDR,1.000.00
8992839913083,UBM AYOMA ICED GEM 40GR,Pcs,1.00,IDR,2.000.00
8992839913748,UBM COCOA PUFF 100 GRAM,Pcs,1.00,IDR,3.500.00
8992839913809,UBM CHORY STRW 200 G,Pcs,1.00,IDR,5.000.00
8992839991029,UBM CHOKIZ 80GR,Pcs,1.00,IDR,4.500.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,7.00,IDR,10.500.00
8993175532891,RICHESE CHOCO WAFR 8 GR,Pcs,5.00,IDR,2.500.00
8993175535878,RICHESSE NABATI KEJU 50GR,Pcs,10.00,IDR,20.000.00
8993175535885,RICHESE NABATI CKLT 50GR,Pcs,9.00,IDR,18.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,6.00,IDR,12.000.00
8994075230399,MOMOGI JAGUNG BAKAR 12,Pcs,4.00,IDR,2.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,2.00,IDR,1.000.00
8994755010303,TIMTAM BISC COKLAT 19GR,Pcs,8.00,IDR,8.000.00
8994755010310,TIMTAM CHOCO VANILLA 15 G,Pcs,10.00,IDR,10.000.00
8994755030325,GOODTIME CHOCOCHIP 17GR,Pcs,8.00,IDR,8.000.00
8994755030516,GOODTIME RAINBOW 16GR,Pcs,4.00,IDR,4.000.00
8995077603822,DEKA CHOCONUT CREPES 14GR,Pcs,5.00,IDR,5.000.00
8995077603839,DEKA CREPES CHOCO BANANA 14 GR,Pcs,7.00,IDR,7.000.00
