Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,1.00,IDR,26.500.00
8993190912401,AMIDIS 1500ML,Pcs,1.00,IDR,4.500.00
8999510785465,PRISTINE 600ML,Pcs,2.00,IDR,7.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,38.000.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
4893049130007,OREO DOUBLESTUF 1524 G,Pcs,1.00,IDR,7.500.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,6.00,IDR,9.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,4.00,IDR,6.000.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,4.00,IDR,6.000.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,6.00,IDR,9.000.00
7622300442507,OREO ICE CREAM 137 G,Pcs,2.00,IDR,15.000.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,8.00,IDR,12.000.00
8886001026025,ASTOR CHOCOLATE 150GR,Pcs,1.00,IDR,12.500.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,20.00,IDR,30.000.00
8886015203115,GOODTIME CHOCO CHIP CHOCO 80GR,Pcs,1.00,IDR,8.500.00
8886015428136,TIMTAM CHOCOLATE 120G,Pcs,1.00,IDR,9.500.00
8887229150226,UNIBIS CREAM CRACKER 265GR,Pcs,1.00,IDR,6.500.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,5.00,IDR,5.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,4.00,IDR,4.000.00
8888166989634,MONDE SERENA SNACK 50G,Pcs,1.00,IDR,4.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,1.00,IDR,1.000.00
8991001780492,SELAMAT WFR COKLAT 189GR,Pcs,1.00,IDR,12.500.00
8991001790071,TWISTER VANILA 20GR,Pcs,1.00,IDR,2.000.00
8991001790200,TWISTER STRAWBERY 20GR,Pcs,2.00,IDR,4.000.00
8991002301825,LOVY COOKIES COFFECINO 30GR,Pcs,2.00,IDR,9.000.00
8991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,1.00,IDR,3.500.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,1.00,IDR,1.000.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,1.00,IDR,1.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,13.00,IDR,39.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,2.00,IDR,6.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,9.00,IDR,13.500.00
8992760121083,OREO DOUBLE DELIGHT 294G,Pcs,9.00,IDR,13.500.00
8992760221028,OREO CHOCOLATE 137G,Pcs,3.00,IDR,22.500.00
8992760223015,OREO CHOCOLATE CREME 150G,Pcs,1.00,IDR,7.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,9.00,IDR,13.500.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,1.00,IDR,6.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,6.00,IDR,6.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
8992839003463,UBM CHOCOLATE 200GR,Pcs,2.00,IDR,11.000.00
8992839913083,UBM AYOMA ICED GEM 40GR,Pcs,1.00,IDR,2.000.00
8992839913700,UBM CHOCOLATE 110 GRAM,Pcs,1.00,IDR,3.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992942120101,KINO SNACKIT PIA RS KCG HIJAU 150GR,Pcs,1.00,IDR,11.000.00
