Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8999510785465,PRISTINE 600ML,Pcs,17.00,IDR,59.500.00
8999510785540,PRISTINE 400 ML,Pcs,24.00,IDR,72.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,131.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B0010,BERAS SWG 10 KG,Pcs,1.00,IDR,122.500.00
"",Total BERAS KARUNG :,,,IDR,122.500.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
7622210609397,BELVITA MADU DAN COKLAT 4X20G,Pcs,1.00,IDR,7.500.00
7622300335809,OREO SOFT CAKE 14G,Pcs,4.00,IDR,6.000.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,2.00,IDR,3.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,46.00,IDR,69.000.00
8886015427238,TIMTAM WAFER VANILA 18GR,Pcs,1.00,IDR,1.000.00
8887229020307,UNIBIS LEMON CREAM 208GR,Pcs,1.00,IDR,6.000.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,2.00,IDR,17.000.00
8888166607132,KHONGGUAN CLASIC 350GR,Pcs,1.00,IDR,16.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,4.00,IDR,4.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,9.00,IDR,9.000.00
8991001790200,TWISTER STRAWBERY 20GR,Pcs,2.00,IDR,4.000.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,2.00,IDR,13.000.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,3.00,IDR,10.500.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,5.00,IDR,5.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,2.00,IDR,1.000.00
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,3.00,IDR,1.500.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,1.00,IDR,3.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,1.00,IDR,3.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,1.00,IDR,1.500.00
8992760121090,OREO DOUBLE DELIGHT 152.4G,Pcs,2.00,IDR,15.000.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,19.00,IDR,19.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
8992802063173,FITBAR COKLAT 24GR,Pcs,1.00,IDR,4.500.00
8992839300029,UBM WAFER STRAWBERY 260GR,Pcs,1.00,IDR,7.500.00
8992942120316,KINO SNKIT PIA100 KHJ 75G,Pcs,3.00,IDR,18.000.00
8992942120484,KINO SNKIT PIA100 KEJU 75GR,Pcs,2.00,IDR,12.000.00
8993039112504,REGAL BISKUIT MARIE 250 G,Pcs,1.00,IDR,18.000.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,4.00,IDR,6.000.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,2.00,IDR,3.000.00
8993175531863,RICHEESE NABATI KRIM KEJU10G,Pcs,1.00,IDR,500.00
8993175532464,RICHESE NABATI WFR KEJU 75GR,Pcs,1.00,IDR,5.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,5.00,IDR,2.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8994075230863,MOMOGI STICK CAPPUCINO 10 G,Pcs,2.00,IDR,1.000.00
8994075230870,MOMOGI TUTTI FRUTTI 10GR,Pcs,13.00,IDR,6.500.00
8994755010303,TIMTAM BISC COKLAT 19GR,Pcs,9.00,IDR,9.000.00
8994755010310,TIMTAM CHOCO VANILLA 15 G,Pcs,11.00,IDR,11.000.00
8994755020241,ARNOTS NYAM NYAM STRWBR,Pcs,2.00,IDR,7.000.00
8995077603822,DEKA CHOCONUT CREPES 14GR,Pcs,11.00,IDR,11.000.00
