"",,BATERAI,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8996001302026,ROMA MALKIST CRK 150,Pcs,3.00,IDR,16.500.00
8996001302033,ROMA CRM CRAKERS 135,Pcs,1.00,IDR,6.000.00
8996001302323,ROMA MALKIST ABON 145G,Pcs,2.00,IDR,13.000.00
8996001302637,ROMA MALKIST COKELAT 120GR,Pcs,1.00,IDR,6.500.00
8996001304549,ROMA SLAY OLAY STRWBRY 24GR,Pcs,5.00,IDR,5.000.00
8996001304983,ROMA SLAI OLAI BLUBERY40,Pcs,1.00,IDR,1.500.00
8996001318430,BETTER MUCH VANILA 16 GR,Pcs,16.00,IDR,16.000.00
8996001355756,BENGBENG MAX32GR,Pcs,17.00,IDR,59.500.00
8997035600430,SOYJOY STRAWBERRY 30 G,Pcs,1.00,IDR,7.000.00
8998694120277,SOBISCO CHOCOMANIA 21GR,Pcs,1.00,IDR,2.500.00
"",Total BISKUIT :,,,IDR,720.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991102308892,FULLO BLASTO 16GR,Pcs,5.00,IDR,5.000.00
8992775311608,GERY CHOCLATOS COKLT 125,Pcs,6.00,IDR,3.000.00
8992775311639,GERY CHOLATOS MOCHA 145,Pcs,14.00,IDR,7.000.00
8992775311981,GERYCHOCOLATOS GRANDE 16GR,Pcs,1.00,IDR,1.000.00
8993039242539,REGAL MARIEDUO KRIM COKLAT 125GR,Pcs,1.00,IDR,9.000.00
8993175538633,RICHESE ROLL COKLAT 43GR,Pcs,6.00,IDR,12.000.00
"",Total BISKUIT ROLL :,,,IDR,37.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8995899250112,BONCABE LEVEL10 7GR,Pcs,2.00,IDR,2.000.00
8995899250150,BONCABE LEVEL 30,Pcs,9.00,IDR,13.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B20044,BROWNIES POWDER INSTANT,Pcs,1.00,IDR,25.000.00
"",Total BUMBU MASAK :,,,IDR,40.500.00
"",COKLAT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
6914973600362,SNICKERS 51 GR,Pcs,1.00,IDR,9.500.00
6914973600669,DOVE MILK CHOCOLATE 43GR,Pcs,1.00,IDR,10.500.00
8901233024233,CADBURY OREO COKLAT 60GR,Pcs,2.00,IDR,29.000.00
8991001111609,SILVERQUEEN BITES CASHEW NUT 40GR,Pcs,1.00,IDR,8.500.00
8991001111807,SILVERQUEEN BITES ALMOND NUTS 40GR,Pcs,1.00,IDR,8.500.00
8991001112026,JAGO MILK 12GR,Pcs,3.00,IDR,1.500.00
8991001121615,SILVERQUEEN CASHEW 68GR,Pcs,1.00,IDR,15.000.00
8991001242013,TOP COKLAT 16GR,Pcs,9.00,IDR,9.000.00
8991001242570,TOP STRAWBERY 16GR,Pcs,2.00,IDR,2.000.00
8991001243034,TOP TRIPLE CHOC 16GR,Pcs,1.00,IDR,1.000.00
8991001243041,TOP TRIPLE CHOC EXTRA LARGE 38GR,Pcs,2.00,IDR,7.000.00
8991001502230,CHACHA MILK CHOCOLATE 10 G,Pcs,7.00,IDR,3.500.00
8991001502254,CHACHA MILK COKLAT 60GR,Pcs,1.00,IDR,9.000.00
8991001502261,CHACHA PEANUT WAR 10GR,Pcs,7.00,IDR,3.500.00
8991001503114,CHACHA MILK CHOCOLATE 35GR,Pcs,1.00,IDR,6.000.00
8991001780126,SELAMAT WFR RS COKLAT 60GR,Pcs,3.00,IDR,13.500.00
8992957220063,LAGIE COKELAT KRISPI 25GR,Pcs,1.00,IDR,2.000.00
8992957220070,LAGIE COKELAT KACANG 25GR,Pcs,3.00,IDR,6.000.00
