Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,2.00,IDR,53.000.00
8999510785465,PRISTINE 600ML,Pcs,8.00,IDR,28.000.00
8999510785540,PRISTINE 400 ML,Pcs,3.00,IDR,9.000.00
B20026,VIT GALON REFILL,Pcs,4.00,IDR,68.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,158.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
B0098,BERAS SWG 25KG,Pcs,1.00,IDR,295.000.00
"",Total BERAS KARUNG :,,,IDR,360.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
7622210708434,OREO DARK N WHITE 137G,Pcs,1.00,IDR,7.500.00
7622210737533,BELVITA PISANG DAN SEREAL 80GR,Pcs,1.00,IDR,7.500.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,10.00,IDR,15.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,11.00,IDR,16.500.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,7.00,IDR,10.500.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,8.00,IDR,12.000.00
7622300442507,OREO ICE CREAM 137 G,Pcs,2.00,IDR,15.000.00
8886001012233,ROMA MARIE SUSU 115 GRAM,Pcs,1.00,IDR,6.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,38.00,IDR,57.000.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,4.00,IDR,14.000.00
8887229020024,UNIBIS SHORTCAKE STRAWBERRY 225GR,Pcs,1.00,IDR,7.500.00
8887229020123,UNIBIS SHORTCAKE TIRAMISU 225GR,Pcs,1.00,IDR,7.500.00
8887229160218,UNIBIS SEEHONGPUFF 270GR,Pcs,1.00,IDR,6.500.00
8888166330306,NISSIN LEMONIA 130G,Pcs,1.00,IDR,6.500.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,1.00,IDR,8.500.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,5.00,IDR,5.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,1.00,IDR,1.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,3.00,IDR,24.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,8.00,IDR,8.000.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,1.00,IDR,3.500.00
8991002312203,OATBITS ALMOND 285GR,Pcs,4.00,IDR,14.000.00
8991002323063,LOVY COEKIES CHOCOBUTTER 30GR,Pcs,1.00,IDR,4.500.00
8991002350304,OATBITS CHOCO BANANA 110GR,Pcs,1.00,IDR,6.500.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,2.00,IDR,1.000.00
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,1.00,IDR,500.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,12.00,IDR,36.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,31.00,IDR,93.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992760211029,KRAFT RITZ CRACERS 100G,Pcs,1.00,IDR,6.000.00
8992760221028,OREO CHOCOLATE 137G,Pcs,1.00,IDR,7.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,7.00,IDR,10.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,20.00,IDR,20.000.00
8992775312889,GERY WAFELATOS COKLAT 16GR,Pcs,5.00,IDR,5.000.00
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,1.00,IDR,7.000.00
8992802063012,FITBAR FRUITS RASPBERY,Pcs,3.00,IDR,13.500.00
8992802090018,ZEE BAR COKLAT 20GR,Pcs,1.00,IDR,3.000.00
8992839690014,UBM MARIE SUSU 35GR,Pcs,2.00,IDR,2.000.00
8992839690083,UBM MARIE COKLAT 35GR,Pcs,6.00,IDR,6.000.00
8992839913083,UBM AYOMA ICED GEM 40GR,Pcs,1.00,IDR,2.000.00
8992839913809,UBM CHORY STRW 200 G,Pcs,1.00,IDR,5.000.00
8992839990152,UBM COCONUT COEKIES 225GR,Pcs,1.00,IDR,6.000.00
8992942120125,KINO SNACKIT PIA RS COKLAT 150GR,Pcs,1.00,IDR,11.000.00
8992942120316,KINO SNKIT PIA100 KHJ 75G,Pcs,2.00,IDR,12.000.00
8992957809060,LAGIE BITTER SWEET 625G,Pcs,1.00,IDR,9.500.00
8992957809077,LAGIE FULL MILK 625,Pcs,1.00,IDR,9.500.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,2.00,IDR,3.000.00
8993175532297,RICHESE AHH KEJU 65 GR,Pcs,17.00,IDR,8.500.00
8993175532891,RICHESE CHOCO WAFR 8 GR,Pcs,11.00,IDR,5.500.00
8993175535878,RICHESSE NABATI KEJU 50GR,Pcs,16.00,IDR,32.000.00
8993175535885,RICHESE NABATI CKLT 50GR,Pcs,5.00,IDR,10.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,5.00,IDR,10.000.00
8994075230399,MOMOGI JAGUNG BAKAR 12,Pcs,17.00,IDR,8.500.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,2.00,IDR,1.000.00
8994075230436,MOMOGI COKLAT 12 GR,Pcs,11.00,IDR,5.500.00
8994075230863,MOMOGI STICK CAPPUCINO 10 G,Pcs,2.00,IDR,1.000.00
8994755010303,TIMTAM BISC COKLAT 19GR,Pcs,14.00,IDR,14.000.00
8994755020241,ARNOTS NYAM NYAM STRWBR,Pcs,2.00,IDR,7.000.00
8994755020357,NYAM-NYAM MOO BUBLEGUM 28GR,Pcs,1.00,IDR,4.000.00
8995077603822,DEKA CHOCONUT CREPES 14GR,Pcs,1.00,IDR,1.000.00
8995077603839,DEKA CREPES CHOCO BANANA 14 GR,Pcs,11.00,IDR,11.000.00
8996001302323,ROMA MALKIST ABON 145G,Pcs,1.00,IDR,6.500.00
8996001302637,ROMA MALKIST COKELAT 120GR,Pcs,3.00,IDR,19.500.00
8996001304549,ROMA SLAY OLAY STRWBRY 24GR,Pcs,4.00,IDR,4.000.00
8996001304983,ROMA SLAI OLAI BLUBERY40,Pcs,1.00,IDR,1.500.00
8996001305041,ROMA SANDWICH COKLAT 216GR,Pcs,3.00,IDR,19.500.00
8996001318430,BETTER MUCH VANILA 16 GR,Pcs,18.00,IDR,18.000.00
