Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8993190912401,AMIDIS 1500ML,Pcs,2.00,IDR,9.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,9.000.00
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
0010,BERAS SWG 10 KG,Pcs,2.00,IDR,245.000.00
"",Total BERAS KARUNG :,,,IDR,310.000.00
"",,BISKUIT,,,
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
622300136048,OREO STRAWBERRY CREME 294 G,Pcs,7.00,IDR,10.500.00
622300136055,OREO STRAWBERRY CR150G,Pcs,1.00,IDR,7.500.00
622300335809,OREO SOFT CAKE 14G,Pcs,6.00,IDR,9.000.00
622300405588,KRAFT KEJU CAKE 16 G,Pcs,8.00,IDR,12.000.00
622300442477,OREO ICECREAM BLBR 294 G,Pcs,7.00,IDR,10.500.00
622300442507,OREO ICE CREAM 137 G,Pcs,1.00,IDR,7.500.00
886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,20.00,IDR,30.000.00
886015203115,GOODTIME CHOCO CHIP CHOCO 80GR,Pcs,1.00,IDR,8.500.00
887229020055,UNIBIS SHORTCAKE CHOCOLATE 225GR,Pcs,1.00,IDR,7.500.00
887229150226,UNIBIS CREAM CRACKER 265GR,Pcs,1.00,IDR,6.500.00
888166609594,NISSIN LEMONIA 20GR,Pcs,5.00,IDR,5.000.00
888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,5.00,IDR,5.000.00
888166989634,MONDE SERENA SNACK 50G,Pcs,1.00,IDR,4.000.00
888166994683,MONDE PIE SAND COK 110 G,Pcs,1.00,IDR,7.500.00
991001770417,SELAMAT WFR COKLAT 18GR,Pcs,10.00,IDR,10.000.00
991001790071,TWISTER VANILA 20GR,Pcs,1.00,IDR,2.000.00
991001790200,TWISTER STRAWBERY 20GR,Pcs,1.00,IDR,2.000.00
991002301825,LOVY COOKIES COFFECINO 30GR,Pcs,1.00,IDR,4.500.00
991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
991002312166,OATBITS KACANG IJO 285 GR,Pcs,3.00,IDR,10.500.00
991002312203,OATBITS ALMOND 285GR,Pcs,1.00,IDR,3.500.00
991002350304,OATBITS CHOCO BANANA 110GR,Pcs,1.00,IDR,6.500.00
991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,7.00,IDR,7.000.00
992716108878,BISKUAT ENERGI 735 GRAM,Pcs,13.00,IDR,39.000.00
992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,16.00,IDR,48.000.00
992760121014,OREO SANDW VANILA 294 G,Pcs,13.00,IDR,19.500.00
992760121083,OREO DOUBLE DELIGHT 294G,Pcs,4.00,IDR,6.000.00
992760223015,OREO CHOCOLATE CREME 150G,Pcs,1.00,IDR,7.500.00
992760223022,OREO CHOCO CREME 294 G,Pcs,13.00,IDR,19.500.00
992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
992839300012,UBM WAFER COKLAT 260GR,Pcs,1.00,IDR,7.500.00
992839690014,UBM MARIE SUSU 35GR,Pcs,1.00,IDR,1.000.00
992839913083,UBM AYOMA ICED GEM 40GR,Pcs,1.00,IDR,2.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992839990725,UBM MALKIST CRACKER 125GR,Pcs,1.00,IDR,4.000.00
8992839991012,UBM CREAM CRAKER 120GR,Pcs,1.00,IDR,4.500.00
8992942120101,KINO SNACKIT PIA RS KCG HIJAU 150GR,Pcs,1.00,IDR,11.000.00
8992942120316,KINO SNKIT PIA100 KHJ 75G,Pcs,1.00,IDR,6.000.00
8992942120347,KINO SNKIT PIA100 CKL 75G,Pcs,1.00,IDR,6.000.00
8993039111255,REGAL MARIE 125GR,Pcs,2.00,IDR,19.000.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,4.00,IDR,6.000.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,5.00,IDR,7.500.00
8993175535878,RICHESSE NABATI KEJU 50GR,Pcs,4.00,IDR,8.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,3.00,IDR,6.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,11.00,IDR,5.500.00
8994075230863,MOMOGI STICK CAPPUCINO 10 G,Pcs,8.00,IDR,4.000.00
8994755020241,ARNOTS NYAM NYAM STRWBR,Pcs,1.00,IDR,3.500.00
8994755030516,GOODTIME RAINBOW 16GR,Pcs,1.00,IDR,1.000.00
8995077603822,DEKA CHOCONUT CREPES 14GR,Pcs,2.00,IDR,2.000.00
