Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,1.00,IDR,26.500.00
8993190912401,AMIDIS 1500ML,Pcs,1.00,IDR,4.500.00
8999510785465,PRISTINE 600ML,Pcs,17.00,IDR,59.500.00
8999510785540,PRISTINE 400 ML,Pcs,3.00,IDR,9.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,99.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
"",Total BERAS KARUNG :,,,IDR,65.000.00
"",BISKUIT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
7622210708434,OREO DARK N WHITE 137G,Pcs,1.00,IDR,7.500.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,2.00,IDR,3.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,12.00,IDR,18.000.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,3.00,IDR,4.500.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,8.00,IDR,12.000.00
7622300442507,OREO ICE CREAM 137 G,Pcs,1.00,IDR,7.500.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,12.00,IDR,18.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,22.00,IDR,33.000.00
8887229020253,UNIBIS STRAWBERY CREAM 208GR,Pcs,1.00,IDR,6.000.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,3.00,IDR,25.500.00
8888166607132,KHONGGUAN CLASIC 350GR,Pcs,1.00,IDR,16.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,3.00,IDR,3.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,1.00,IDR,1.000.00
8888166989634,MONDE SERENA SNACK 50G,Pcs,3.00,IDR,12.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,10.00,IDR,10.000.00
8991001781000,TWISTER CHOCO 20GR,Pcs,7.00,IDR,14.000.00
8991001781222,TWISTER COKLAT 7GR,Pcs,2.00,IDR,1.000.00
8991001790071,TWISTER VANILA 20GR,Pcs,5.00,IDR,10.000.00
8991001790200,TWISTER STRAWBERY 20GR,Pcs,2.00,IDR,4.000.00
8991002312135,OATBITS VITAFRUIT 121 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002312203,OATBITS ALMOND 285GR,Pcs,4.00,IDR,14.000.00
8991002323063,LOVY COEKIES CHOCOBUTTER 30GR,Pcs,2.00,IDR,9.000.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,4.00,IDR,4.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,11.00,IDR,33.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,33.00,IDR,99.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,3.00,IDR,4.500.00
8992760121083,OREO DOUBLE DELIGHT 294G,Pcs,6.00,IDR,9.000.00
8992760221028,OREO CHOCOLATE 137G,Pcs,1.00,IDR,7.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,2.00,IDR,3.000.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,1.00,IDR,6.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,24.00,IDR,24.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
8992802063029,FITBAR NUTS MEDE 24GR,Pcs,1.00,IDR,4.500.00
8992839300012,UBM WAFER COKLAT 260GR,Pcs,1.00,IDR,7.500.00
8992839913748,UBM COCOA PUFF 100 GRAM,Pcs,1.00,IDR,3.500.00
8992839990725,UBM MALKIST CRACKER 125GR,Pcs,1.00,IDR,4.000.00
8992839991159,UBM HANSEN BUTTER COEKIES 150GR,Pcs,1.00,IDR,8.500.00
