Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992752011095,VIT 330ML,Pcs,9.00,IDR,13.500.00
8993190912401,AMIDIS 1500ML,Pcs,5.00,IDR,22.500.00
8999510785465,PRISTINE 600ML,Pcs,12.00,IDR,42.000.00
8999510785540,PRISTINE 400 ML,Pcs,6.00,IDR,18.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,96.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
B0010,BERAS SWG 10 KG,Pcs,1.00,IDR,122.500.00
"",Total BERAS KARUNG :,,,IDR,187.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
749921040305,WRP FRUIT BAR APRICOTRAISIN20GR,Pcs,2.00,IDR,9.000.00
7622210708434,OREO DARK N WHITE 137G,Pcs,1.00,IDR,7.500.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,2.00,IDR,3.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,7.00,IDR,10.500.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,7.00,IDR,10.500.00
7622300484071,OREO GOLDEN 137 GRAM,Pcs,1.00,IDR,7.500.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,5.00,IDR,7.500.00
7622300761363,OREO MINI COKLAT 67GR,Pcs,1.00,IDR,7.500.00
8886001012233,ROMA MARIE SUSU 115 GRAM,Pcs,1.00,IDR,6.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,54.00,IDR,81.000.00
8886015203115,GOODTIME CHOCO CHIP CHOCO 80GR,Pcs,1.00,IDR,8.500.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,6.00,IDR,21.000.00
8886015427139,TIMTAM CHOCO VAN 120GR,Pcs,1.00,IDR,9.500.00
8886015427238,TIMTAM WAFER VANILA 18GR,Pcs,1.00,IDR,1.000.00
8887229020055,UNIBIS SHORTCAKE CHOCOLATE 225GR,Pcs,1.00,IDR,7.500.00
8887229160218,UNIBIS SEEHONGPUFF 270GR,Pcs,1.00,IDR,6.500.00
8888166330306,NISSIN LEMONIA 130G,Pcs,3.00,IDR,19.500.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,2.00,IDR,17.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,2.00,IDR,2.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,1.00,IDR,1.000.00
8888166989634,MONDE SERENA SNACK 50G,Pcs,3.00,IDR,12.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8888166991484,NISSIN COCONUT 200GR,Pcs,1.00,IDR,8.500.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,1.00,IDR,8.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,6.00,IDR,6.000.00
8991001781222,TWISTER COKLAT 7GR,Pcs,2.00,IDR,1.000.00
8991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,2.00,IDR,13.000.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,1.00,IDR,1.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,8.00,IDR,24.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,19.00,IDR,57.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,8.00,IDR,12.000.00
8992760221028,OREO CHOCOLATE 137G,Pcs,1.00,IDR,7.500.00
8992760223015,OREO CHOCOLATE CREME 150G,Pcs,1.00,IDR,7.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,5.00,IDR,7.500.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,2.00,IDR,13.000.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,3.00,IDR,3.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,1.00,IDR,6.500.00
8992802063029,FITBAR NUTS MEDE 24GR,Pcs,1.00,IDR,4.500.00
8992802063173,FITBAR COKLAT 24GR,Pcs,3.00,IDR,13.500.00
8992839002220,UBM MINI ASSORTED150GR,Pcs,1.00,IDR,4.000.00
8992839007577,UBM SQUARE PUFF 380GR,Pcs,1.00,IDR,8.500.00
8992839913014,UBM NUTTY PEANUT 135GR,Pcs,1.00,IDR,4.500.00
8992839913175,UBM CHEESY CRACKER 135GR,Pcs,1.00,IDR,4.500.00
8992839990152,UBM COCONUT COEKIES 225GR,Pcs,1.00,IDR,6.000.00
8992839990251,UBM WAFER VANILA 260 GR,Pcs,1.00,IDR,7.500.00
8992942120408,KINO SNKIT PIA100 PANDAN 75GR,Pcs,1.00,IDR,6.000.00
8993039111255,REGAL MARIE 125GR,Pcs,1.00,IDR,9.500.00
8993175531863,RICHEESE NABATI KRIM KEJU10G,Pcs,50.00,IDR,25.000.00
8993175532297,RICHESE AHH KEJU 65 GR,Pcs,54.00,IDR,27.000.00
8993175532464,RICHESE NABATI WFR KEJU 75GR,Pcs,5.00,IDR,25.000.00
8993175532891,RICHESE CHOCO WAFR 8 GR,Pcs,2.00,IDR,1.000.00
8993175537872,RICHESE ROLL KEJU 43GR,Pcs,10.00,IDR,20.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,4.00,IDR,8.000.00
