Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
9415007014416,BONEETO COKLAT 180ML,Pcs,1,IDR,4.500.00,
9415007014430,BONEETO VANILA 180ML,Pcs,2,IDR,9.000.00,
,Total MINUMAN TETRA PACK :,,,IDR,760.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992946121012,TROPICAL 1LITER,Pcs,2,IDR,29.000.00,
8993496001076,SANIA 2LITER,Pcs,4,IDR,98.000.00,
8993496001083,SANIA MINYAK 1 LITER,Pcs,1,IDR,15.000.00,
,Total MINYAK GORENG :,,,IDR,142.000.00,
,,OBAT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
57856,LASERIN OBAT BATUK 30ML,Pcs,1,IDR,4.000.00,
8992858664706,PROMAG PROMAG TABLET,Pcs,1,IDR,500,
8993014730112,MADURASA JERUK 20 ML,Pcs,2,IDR,2.000.00,
8998667100206,PARAMEX OBAT SAKIT KEPALA,Pcs,1,IDR,2.500.00,
8998898101409,TOLAK ANGI CAIR SC,Pcs,10,IDR,25.000.00,
8999777026370,HANSAPLAST KAIN ELASTIS,Pcs,1,IDR,500,
,Total OBAT :,,,IDR,34.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
76980,SENSODYNE R&P 100GR,Pcs,1,IDR,28.500.00,
8998866181082,CIPTADENT FRESH MINT 190 GRAM,Pcs,2,IDR,16.000.00,
8999999706081,PEPSODENT CALC GANDA 75G,Pcs,3,IDR,10.500.00,
8999999707781,PEPSODENT WHITENING 190 Gr,Pcs,2,IDR,32.000.00,
8999999710866,PEPSODENT HERBAL 190 GRAM,Pcs,1,IDR,16.000.00,
8999999710873,PEPSODENT HERBAL 120 GR,Pcs,1,IDR,10.500.00,
,Total PASTA GIGI :,,,IDR,113.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8993189270284,CHARM EXTRA MAXI 8 PADS,Pcs,1,IDR,4.000.00,
8993189270291,CHARM BF EXTRA MAXI 10 PAD,Pcs,1,IDR,5.000.00,
8993189270321,CHARM BDFIT EXT MWING 5 PADS,Pcs,1,IDR,3.500.00,
8993189270673,CHARM EXTRA MAXI WING 2PAD,Pcs,3,IDR,3.000.00,
8993189270680,CHARM NIGHT 29CM ISI 2PAD,Pcs,14,IDR,21.000.00,
,Total PEMBALUT WANITA :,,,IDR,36.500.00,
,,PERMEN,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
34565,BUBBLE GUM CANDY,Pcs,1,IDR,1.000.00,
6545,CHUPA LOLYPOP,Pcs,13,IDR,26.000.00,
8991115010102,BIG BABOL TT FRUITY 20GR,Pcs,4,IDR,10.000.00,
8991115040093,HAPPYDENT WHITE 14GR,Pcs,4,IDR,12.000.00,
8992919856026,SUGUS ORANGE 30 GR,Pcs,2,IDR,6.000.00,
8993560151041,STREPSIL LMN HERBAL ISI 6,Pcs,1,IDR,12.000.00,
8998685011003,HEXOS MINT,Pcs,9,IDR,18.000.00,
8998685012000,HEXOS LEMON MINT,Pcs,4,IDR,8.000.00,
8998685021002,NANO NANO KULIT JERUK,Pcs,7,IDR,14.000.00,
8998685028001,NANO-NANO NOUGAT ORIGINAL 20GR,Pcs,1,IDR,2.500.00,
8998685052303,FROZZ BARLEY MINT,Pcs,2,IDR,15.000.00,
8998685175002,NANO-NANO NOUGAT COKLAT 20GR,Pcs,1,IDR,2.500.00,
8998685177013,NANO-NANO MILKY VANILA 12GR,Pcs,1,IDR,2.500.00,
8998685179017,NANO-NANO MILKY STROBERY 12GR,Pcs,2,IDR,5.000.00,
8998685221013,NANO-NANO MILKY COKLAT 12GR,Pcs,2,IDR,5.000.00,
95506913,STREPSILS VITAMIN C- 100 ISI 6,Pcs,1,IDR,8.500.00,
,Total PERMEN :,,,IDR,148.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8991115012106,BIG BABOL STRWBERY 20GR,Pcs,11,IDR,27.500.00,
,Total PERMEN KARET :,,,IDR,27.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992745326229,STELLA MATIC GREEN FTS 225 ML,Pcs,1,IDR,31.500.00,
,Total PEWANGI RUANGAN :,,,IDR,31.500.00,
,,ROKOK,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
76239878,MARLBORO PUTIH,Pcs,1,IDR,24.000.00,
8991906101019,DJARUM SUPER 12X10BKS,Pcs,1,IDR,16.500.00,
8991906101125,DJARUM BLACK 16X 10BKS,Pcs,1,IDR,18.500.00,
8991906101170,DJARUM BLACK CAPPUCINO,Pcs,2,IDR,37.000.00,
8991906101361,DJARUM SUPER MLD,Pcs,5,IDR,95.000.00,
8991906101644,DJARUM COKLAT 12X10BKS,Pcs,4,IDR,50.000.00,
8991906105758,LA BOLD 20,Pcs,2,IDR,41.000.00,
8993989311279,CLASS MILD CLASS MILD 12,Pcs,2,IDR,25.000.00,
8993989311699,CLASS MILD CLASS MILD 16,Pcs,1,IDR,18.000.00,
8997032821302,ESSE BERRY POP 16,Pcs,1,IDR,16.500.00,
89981108,LUCKY STRIKE MERAH 20,Pcs,3,IDR,51.000.00,
8998127311173,STAR MILD 16,Pcs,1,IDR,20.500.00,
8998181941132,DUNHILL DUNHILL FILTER,Pcs,5,IDR,82.500.00,
8998989100120,GARAM GARAM FILTER,Pcs,6,IDR,96.000.00,
8998989110167,GARAM GUDANG GARAM SURYA16,Pcs,2,IDR,41.000.00,
8998989300155,GARAM SIGNATURE,Pcs,5,IDR,70.000.00,
8998989300179,GG MILD MENTHOL 16,Pcs,1,IDR,15.500.00,
,,ROKOK,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8998989300391,GARAM SURYA PRO MILD 16,Pcs,2,IDR,29.000.00,
8999909000544,MARLBORO FILTER BLACK 20,Pcs,2,IDR,41.000.00,
8999909001909,DJISAMSOE MAGNUM  FILTER,Pcs,1,IDR,16.500.00,
8999909028234,DJISAMSOE 12 BATANGX20BKS,Pcs,10,IDR,155.000.00,
8999909028999,DJISAMSOE REFIL 12X 10 BKS,Pcs,3,IDR,54.000.00,
8999909085114,SAMPOERNA KRETEK 12 BTG,Pcs,1,IDR,12.000.00,
8999909096004,SAMPOERNA MILD MERAH 16,Pcs,12,IDR,246.000.00,
8999909982000,SAMPOERNA MILD MERAH 12,Pcs,6,IDR,90.000.00,
,Total ROKOK :,,,IDR,1.361.500.00,
,,ROTI,,,,
Kode Barang,Nama Barang,,Unit,Terjual,Mata Uang,Nilai Penjualan
8992907230012,SARI ROTI ICK  ISI COKLAT 72G,,Pcs,5,IDR,30.000.00
8992907240011,SARI ROTI IKJ ISI KEJU 70G,,Pcs,3,IDR,19.500.00
8992907420017,SARI ROTI KRIM COKLAT 69GR,,Pcs,1,IDR,4.500.00
8992907440015,SARI ROTI KRIM MOCCA 72G,,Pcs,2,IDR,9.000.00
8992907450014,SARI ROTI KRIM COKLAT VANILA,,Pcs,2,IDR,9.000.00
8992907710019,SARI ROTI SOBEK COKLAT 226GR,,Pcs,1,IDR,15.000.00
8992907780012,SARI ROTI SOBEK KASUR KEJU 180G,,Pcs,1,IDR,15.000.00
8992907952037,SARI ROTI ISI COKLAT KEJU,,Pcs,15,IDR,90.000.00
8992907952327,SARI ROTI SCK SANDWICH COKLAT 49 G,,Pcs,21,IDR,84.000.00
8992907952334,SARI ROTI SANDWICH KEJU 49G,,Pcs,17,IDR,68.000.00
8992907952358,SARI ROTI SAP SANDWICH KACANG 49 G,,Pcs,5,IDR,20.000.00
8994046020059,MYROTI SNDWICH CKLT PSNG 96GR,,Pcs,4,IDR,18.000.00
8994046020073,MYROTI SNDWICH STROWBERY SUSU 96G,,Pcs,3,IDR,13.500.00
8994046020080,MYROTI SNDWICH COKLAT DAN KACANG,,Pcs,4,IDR,18.000.00
8994046020097,MYROTI SNDWCH COKLAT STRWBRY 96GR,,Pcs,3,IDR,13.500.00
8994046020103,MYROTI SNDWICH TUNA MAYO50GR,,Pcs,2,IDR,10.000.00
8994046070047,MYROTI ISI COKLAT 58GR,,Pcs,3,IDR,9.000.00
8994046070054,MYROTI ISI SUSU 58GR,,Pcs,8,IDR,23.400.00
,Total ROTI :,,,,IDR,469.400.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8999999036607,LUX SOFT TOUCH 85G,Pcs,2,IDR,6.000.00,
8999999036676,LUX AQUA SPARKLE 85GR,Pcs,2,IDR,6.000.00,
,Total SABUN MANDI BATANG :,,,IDR,12.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992727005012,BIORE HYGENIC COOL 420ML,Pcs,1,IDR,24.500.00,
8999999001230,LIFEBUOY TOTALPROTECT 100ML,Pcs,1,IDR,8.500.00,
,Total SABUN MANDI CAIR :,,,IDR,33.000.00,
,,SAOS,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
711844120082,ABC SAMBAL EXTRA PDS135ML,Pcs,1,IDR,6.000.00,
,Total SAOS :,,,IDR,6.000.00,
,,SHAMPO,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8999999033132,LIFEBUOY HAIR FALL 170ML,Pcs,2,IDR,29.000.00,
,Total SHAMPO :,,,IDR,29.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8998866103954,CIPTADENT EXTRA CLEAN SOFT,Pcs,4,IDR,12.000.00,
8999999520151,PEPSODENT SKT GIGI TRIPLE CLEAN,Pcs,2,IDR,7.000.00,
,MEDIUM,,,,,
,Total SIKAT GIGI :,,,IDR,19.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
53314502227,KUSUKA AYAM LD HTM 30@60G,Pcs,1,IDR,5.500.00,
89686596441,LAYS SEAWEED 40 G,Pcs,1,IDR,6.000.00,
89686596465,LAYS SEAWEED 75G,Pcs,1,IDR,10.000.00,
89686598056,CHITATO SP PANGGANG 68GR,Pcs,2,IDR,19.000.00,
89686598476,CHITATO AYAM BUMBU 68GR,Pcs,1,IDR,10.500.00,
89686600025,CHEETOS AYAM BAKAR 15GR,Pcs,9,IDR,9.000.00,
89686600223,CHEETOS JAGUNG BAKAR 15GR,Pcs,1,IDR,1.000.00,
89686600247,CHEETOS JAGUNG BKR 40 GR,Pcs,9,IDR,36.000.00,
89686601053,CHEETOS PUFF 60GR,Pcs,1,IDR,6.500.00,
89686611052,QTELA KRUMPE 50GR,Pcs,1,IDR,5.000.00,
4556,KACANG GORENG 500 GR,Pcs,1,IDR,35.000.00,
8886013223207,SIANTAR TOP FRENC FRIES 75GR,Pcs,1,IDR,6.000.00,
8886013402206,TWISTKORS JAGUNG BAKAR 30GR,Pcs,3,IDR,7.500.00,
8992775110126,GARUDA KAC KULIT GRG10X230G,Pcs,2,IDR,31.000.00,
8992775110133,GARUDA KACANG KULIT 80 GRAM,Pcs,2,IDR,13.000.00,
8992775211410,GARUDA PILUS PEDAS 95G,Pcs,1,IDR,5.000.00,
8992775301012,GERY CHOCOLATOS GRANDE 66G,Pcs,7,IDR,28.000.00,
8993175532419,RICHEESE ROLLS 8G,Pcs,7,IDR,3.500.00,
8994075560069,CITOKU PEDAS 50GR,Pcs,1,IDR,7.500.00,
8996196000257,PIATTOS BARBEQUE 50+5 G,Pcs,3,IDR,16.500.00,
8996196003456,PIATTOS DUO SEAWEED&SPIC GRILB50G,Pcs,1,IDR,5.500.00,
8996196004255,POTATO CRIPS SP PGG 68GR,Pcs,1,IDR,7.000.00,
8996196075903,CHIZ KING RS KEJU 14GR,Pcs,1,IDR,1.000.00,
8997004301146,RINBEE STICK KEJU 70GR,Pcs,2,IDR,12.000.00,
8997004302143,RINBEE STICK KEJU 14GR,Pcs,10,IDR,10.000.00,
8997004303607,OISHI POPPY POP 14GR,Pcs,5,IDR,5.000.00,
8997004306448,OISHI SUKY SEAWEED 14GR,Pcs,1,IDR,1.000.00,
8997004306455,SUKY UDANG 14GR,Pcs,4,IDR,4.000.00,
8997016730200,KRIPTOS JGG BKR 120GR,Pcs,1,IDR,6.000.00,
8998866201483,POTABEE RS SEAWEED 35GR,Pcs,2,IDR,10.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8999999000165,TARO SEAWED 9GR,Pcs,5,IDR,5.000.00,
8999999000189,TARO SEAWEED 40 GRAM,Pcs,3,IDR,15.000.00,
,Total SNACK CHIKI :,,,IDR,343.000.00,
,,SUSU,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992696409057,MILO 3 IN1CKT  35GR,Pcs,3,IDR,16.000.00,
8992696520103,DANCOW INSTANT COKLAT 40 G,Pcs,1,IDR,6.000.00,
8992753031900,BENDERA KTL MANIS SCT 6X42GR,Pcs,1,IDR,8.000.00,
8992753101207,BENDERA  KENTAL MNS 385gr,Pcs,1,IDR,10.500.00,
8992753102303,BENDERA COKLAT SC ISI 6X 42,Pcs,1,IDR,8.000.00,
8992761164546,NUTRIBOOS STRWB 300ML,Pcs,2,IDR,12.000.00,
8996001440087,ENERGEN KAC  HIJAU 5 X 32G,Pcs,1,IDR,6.500.00,
,Total SUSU :,,,IDR,67.000.00,
,,TEH,,,,
Kode Barang,Nama Barang,,Unit,Terjual,Mata Uang,Nilai Penjualan
8999999195649,SARIWANGI TEH ISI 25 PACK,,Pcs,1,IDR,5.500.00
,Total TEH :,,,,IDR,5.500.00
,,TISSUE,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992745540687,MITU ANTISEPTIC 10S,Pcs,2,IDR,13.000.00,
8992931025035,TESSA MULTI NP4X200s MP-03,Pcs,2,IDR,13.000.00,
8992931029521,MULTI TISSUE ROLL,Pcs,1,IDR,3.000.00,
8993053131093,PASEO TRAVELPACK 70S,Pcs,3,IDR,13.500.00,
8994075260297,TESSA TISSUE SAKU 10S,Pcs,7,IDR,7.000.00,
,Total TISSUE :,,,IDR,49.500.00,
,Total :,,,IDR,10.645.900.0,
