Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992775311639,GERY CHOLATOS MOCHA 145,Pcs,6,IDR,3.000.00,
8997004303423,OISHI SPONGE COKLAT 28GR,Pcs,8,IDR,16.000.00,
,Total BISKUIT ROLL :,,,IDR,34.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8995899250112,BONCABE LEVEL10 7GR,Pcs,13,IDR,13.000.00,
8995899250150,BONCABE LEVEL 30,Pcs,8,IDR,12.000.00,
,Total BUMBU MASAK :,,,IDR,25.000.00,
,,COKLAT,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
6914973600362,SNICKERS 51 GR,Pcs,4,IDR,38.000.00,
8991001111609,SILVERQUEEN BITES CASHEW NUT 40GR,Pcs,1,IDR,8.500.00,
8991001111807,SILVERQUEEN BITES ALMOND NUTS 40GR,Pcs,1,IDR,9.000.00,
8991001112026,JAGO MILK 12GR,Pcs,18,IDR,9.000.00,
8991001121615,SILVERQUEEN CASHEW 68GR,Pcs,1,IDR,15.000.00,
8991001242013,TOP COKLAT 16GR,Pcs,2,IDR,2.000.00,
8991001242570,TOP STRAWBERY 16GR,Pcs,2,IDR,2.000.00,
8991001242983,TOP BLACK N WHITE 16GR,Pcs,8,IDR,8.000.00,
8991001243034,TOP TRIPLE CHOC 16GR,Pcs,3,IDR,3.000.00,
8991001243041,TOP TRIPLE CHOC EXTRA LARGE 38GR,Pcs,4,IDR,14.000.00,
8991001502230,CHACHA MILK CHOCOLATE 10 G,Pcs,11,IDR,5.500.00,
8991001502254,CHACHA MILK COKLAT 60GR,Pcs,2,IDR,18.000.00,
8991001502261,CHACHA PEANUT WAR 10GR,Pcs,4,IDR,2.000.00,
8992957220025,LAGIE GLN CITY MINI 50G,Pcs,1,IDR,3.000.00,
8992957220063,LAGIE COKELAT KRISPI 25GR,Pcs,4,IDR,8.000.00,
8992957220087,LAGIE COKLAT METE 25G,Pcs,1,IDR,2.500.00,
8992957220100,LAGIE COKLAT TING2 KCG 30GR,Pcs,1,IDR,2.000.00,
8992957220117,LAGIE COKLAT KRIM KCG 30GR,Pcs,3,IDR,6.000.00,
8992957220209,LAGIE COKLAT ISI WAFER 25GR,Pcs,1,IDR,2.000.00,
8992957251579,LAGIE PEANUT PIE 30G,Pcs,4,IDR,10.000.00,
8992957354201,LAGIE GOLDEN CITY BALL WRN 50GR,Pcs,3,IDR,9.000.00,
8992957361124,LAGIE GLN CITY BALL 50G,Pcs,4,IDR,14.000.00,
