Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8995899250112,BONCABE LEVEL10 7GR,Pcs,5.00,IDR,5.000.00
8995899250150,BONCABE LEVEL 30,Pcs,1.00,IDR,1.500.00
"",Total BUMBU MASAK :,,,IDR,6.500.00
"",,COKLAT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
6914973600362,SNICKERS 51 GR,Pcs,3.00,IDR,28.500.00
6914973605039,SNICKERS 2X@35 GR,Pcs,1.00,IDR,12.000.00
8901233021157,FIVE STAR FLOWPACK 45GR,Pcs,3.00,IDR,22.500.00
8991001111289,SILVERQUEEN CASHEW 33GR,Pcs,3.00,IDR,22.500.00
8991001111807,SILVERQUEEN BITES ALMOND NUTS 40GR,Pcs,2.00,IDR,17.000.00
8991001111937,SILVERQUEEN ROCKERMILK 22GR,Pcs,1.00,IDR,5.000.00
8991001112026,JAGO MILK 12GR,Pcs,18.00,IDR,9.000.00
8991001243034,TOP TRIPLE CHOC 16GR,Pcs,2.00,IDR,2.000.00
8991001502230,CHACHA MILK CHOCOLATE 10 G,Pcs,19.00,IDR,9.500.00
8991001502254,CHACHA MILK COKLAT 60GR,Pcs,1.00,IDR,9.000.00
8991001502261,CHACHA PEANUT WAR 10GR,Pcs,6.00,IDR,3.000.00
8992957220025,LAGIE GLN CITY MINI 50G,Pcs,8.00,IDR,24.000.00
8992957220063,LAGIE COKELAT KRISPI 25GR,Pcs,2.00,IDR,4.000.00
8992957220070,LAGIE COKELAT KACANG 25GR,Pcs,1.00,IDR,2.000.00
8992957220087,LAGIE COKLAT METE 25G,Pcs,3.00,IDR,7.500.00
8992957220100,LAGIE COKLAT TING2 KCG 30GR,Pcs,1.00,IDR,2.000.00
8992957220117,LAGIE COKLAT KRIM KCG 30GR,Pcs,1.00,IDR,2.000.00
8992957220186,LAGIE COKLAT BISKUIT 30GR,Pcs,1.00,IDR,2.000.00
8992957220209,LAGIE COKLAT ISI WAFER 25GR,Pcs,2.00,IDR,4.000.00
8992957251579,LAGIE PEANUT PIE 30G,Pcs,9.00,IDR,22.500.00
8992957352047,LAGIE FEBBY PENUT WARNA 45,Pcs,2.00,IDR,7.000.00
8992957354119,LAGIE PLANET 30GR,Pcs,2.00,IDR,5.000.00
8992957354201,LAGIE GOLDEN CITY BALL WRN 50GR,Pcs,3.00,IDR,9.000.00
8992957361124,LAGIE GLN CITY BALL 50G,Pcs,13.00,IDR,45.500.00
8992957361131,LAGIE PEANUT COKLAT 45 G,Pcs,3.00,IDR,10.500.00
8993058501105,EXTRA JOSS BAR,Pcs,3.00,IDR,7.500.00
8996001355855,BENGBENG WHITE 22GR,Pcs,7.00,IDR,10.500.00
8996196225308,CLOUD9 CRUNCHYBANANA11GR,Pcs,5.00,IDR,2.500.00
8996196225407,CLOUD9 CRUNCHYCHOCO11GR,Pcs,31.00,IDR,15.500.00
9556001670700,KIT KAT COKLAT 35GR,Pcs,4.00,IDR,34.000.00
"",Total COKLAT :,,,IDR,357.000.00
"",,DETERGEN,,,
