Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,4.00,IDR,106.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,106.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
B00011,BERAS SWG 5 KG,Pcs,2.00,IDR,130.000.00
"",Total BERAS KARUNG :,,,IDR,130.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
4893049120008,KRAFT RITZ SANDCRACKER118G,Pcs,1.00,IDR,7.500.00
4893049130007,OREO DOUBLESTUF 1524 G,Pcs,1.00,IDR,7.500.00
749921040305,WRP FRUIT BAR APRICOTRAISIN20GR,Pcs,1.00,IDR,4.500.00
7622210609397,BELVITA MADU DAN COKLAT 4X20G,Pcs,1.00,IDR,7.500.00
7622300136048,OREO STRAWBERRY CREME 294 G,Pcs,4.00,IDR,6.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,3.00,IDR,4.500.00
7622300405588,KRAFT KEJU CAKE 16 G,Pcs,5.00,IDR,7.500.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,5.00,IDR,7.500.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,29.00,IDR,43.500.00
8886015201111,ARNOTTS GOOD TIME COOKIES 84,Pcs,1.00,IDR,8.500.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,3.00,IDR,10.500.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,2.00,IDR,17.000.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,3.00,IDR,3.000.00
8888166610002,NISSIN LEMONIA CHOCO 20GR,Pcs,1.00,IDR,1.000.00
8888166989634,MONDE SERENA SNACK 50G,Pcs,2.00,IDR,8.000.00
8888166990104,MONDE FRIED COOKIES 200G,Pcs,1.00,IDR,14.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,2.00,IDR,16.000.00
8888166994683,MONDE PIE SAND COK 110 G,Pcs,1.00,IDR,7.500.00
8888166995789,NISSIN BLUEBERY SOES 100GR,Pcs,3.00,IDR,24.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,4.00,IDR,4.000.00
8991001781222,TWISTER COKLAT 7GR,Pcs,1.00,IDR,500.00
8991002312111,OATBITS RAISIN 132 G,Pcs,1.00,IDR,6.500.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002350304,OATBITS CHOCO BANANA 110GR,Pcs,1.00,IDR,6.500.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,2.00,IDR,1.000.00
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,7.00,IDR,3.500.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,7.00,IDR,21.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,18.00,IDR,54.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,1.00,IDR,1.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,3.00,IDR,4.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,6.00,IDR,6.000.00
8992775312889,GERY WAFELATOS COKLAT 16GR,Pcs,1.00,IDR,1.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,2.00,IDR,14.000.00
8992802063012,FITBAR FRUITS RASPBERY,Pcs,2.00,IDR,9.000.00
8992802090018,ZEE BAR COKLAT 20GR,Pcs,1.00,IDR,3.000.00
8992839690014,UBM MARIE SUSU 35GR,Pcs,1.00,IDR,1.000.00
8992839690083,UBM MARIE COKLAT 35GR,Pcs,1.00,IDR,1.000.00
8992942120347,KINO SNKIT PIA100 CKL 75G,Pcs,1.00,IDR,6.000.00
8992942120408,KINO SNKIT PIA100 PANDAN 75GR,Pcs,1.00,IDR,6.000.00
8992942120484,KINO SNKIT PIA100 KEJU 75GR,Pcs,1.00,IDR,6.000.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,2.00,IDR,3.000.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,1.00,IDR,1.500.00
8993175532464,RICHESE NABATI WFR KEJU 75GR,Pcs,1.00,IDR,5.000.00
8993175535878,RICHESSE NABATI KEJU 50GR,Pcs,2.00,IDR,4.000.00
8993175535885,RICHESE NABATI CKLT 50GR,Pcs,3.00,IDR,6.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,4.00,IDR,8.000.00
8994075230399,MOMOGI JAGUNG BAKAR 12,Pcs,8.00,IDR,4.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,2.00,IDR,1.000.00
8994075230436,MOMOGI COKLAT 12 GR,Pcs,5.00,IDR,2.500.00
8994075230863,MOMOGI STICK CAPPUCINO 10 G,Pcs,4.00,IDR,2.000.00
8994755010303,TIMTAM BISC COKLAT 19GR,Pcs,9.00,IDR,9.000.00
8994755020241,ARNOTS NYAM NYAM STRWBR,Pcs,1.00,IDR,3.500.00
8994755020388,NYAM-NYAM MOO CHESSE 18GR,Pcs,1.00,IDR,4.000.00
8995077603822,DEKA CHOCONUT CREPES 14GR,Pcs,2.00,IDR,2.000.00
8995077603839,DEKA CREPES CHOCO BANANA 14 GR,Pcs,2.00,IDR,2.000.00
8996001302637,ROMA MALKIST COKELAT 120GR,Pcs,1.00,IDR,6.500.00
8996001304549,ROMA SLAY OLAY STRWBRY 24GR,Pcs,3.00,IDR,3.000.00
8996001304983,ROMA SLAI OLAI BLUBERY40,Pcs,1.00,IDR,1.500.00
8996001318430,BETTER MUCH VANILA 16 GR,Pcs,19.00,IDR,19.000.00
8996001355756,BENGBENG MAX32GR,Pcs,7.00,IDR,24.500.00
8997011230064,MARIE TUNGGAL 100GR,Pcs,1.00,IDR,7.000.00
8997035563469,SOYJOY HAWTHORN BERRY,Pcs,1.00,IDR,7.000.00
"",Total BISKUIT :,,,IDR,495.000.00
"",,BISKUIT ROLL,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991102308892,FULLO BLASTO 16GR,Pcs,2.00,IDR,2.000.00
8992775311608,GERY CHOCLATOS COKLT 125,Pcs,4.00,IDR,2.000.00
8992775311639,GERY CHOLATOS MOCHA 145,Pcs,6.00,IDR,3.000.00
8992775311981,GERYCHOCOLATOS GRANDE 16GR,Pcs,2.00,IDR,2.000.00
8993175538633,RICHESE ROLL COKLAT 43GR,Pcs,11.00,IDR,22.000.00
