Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,2.00,IDR,50.000.00
8992752011095,VIT 330ML,Pcs,12.00,IDR,18.000.00
8993190912401,AMIDIS 1500ML,Pcs,8.00,IDR,36.000.00
8999510785465,PRISTINE 600ML,Pcs,30.00,IDR,105.000.00
8999510785540,PRISTINE 400 ML,Pcs,26.00,IDR,78.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,287.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
4893049120008,KRAFT RITZ SANDCRACKER118G,Pcs,2.00,IDR,15.000.00
749921040213,WRP CHOCOLATE CHIP 30GR,Pcs,1.00,IDR,5.000.00
7622300335809,OREO SOFT CAKE 14G,Pcs,9.00,IDR,13.500.00
7622300442477,OREO ICECREAM BLBR 294 G,Pcs,11.00,IDR,16.500.00
7622300484071,OREO GOLDEN 137 GRAM,Pcs,2.00,IDR,15.000.00
7622300484095,OREO GOLDEN 294 GRAM,Pcs,12.00,IDR,18.000.00
8886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,68.00,IDR,102.000.00
8886015414061,NYAM NYAM CHOCO 18GR,Pcs,5.00,IDR,17.500.00
8888166330306,NISSIN LEMONIA 130G,Pcs,4.00,IDR,26.000.00
8888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,1.00,IDR,8.500.00
8888166609594,NISSIN LEMONIA 20GR,Pcs,10.00,IDR,10.000.00
8888166991484,NISSIN COCONUT 200GR,Pcs,2.00,IDR,17.000.00
8888166993150,NISSIN CHOCO SOES 100GR,Pcs,7.00,IDR,56.000.00
8991001770417,SELAMAT WFR COKLAT 18GR,Pcs,1.00,IDR,1.000.00
8991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,1.00,IDR,6.500.00
8991002312166,OATBITS KACANG IJO 285 GR,Pcs,3.00,IDR,10.500.00
8991002502635,MAYASI CRISPY PINEAPPLE 15GR,Pcs,1.00,IDR,1.000.00
8991102385084,TANGO WAFER COKLAT 7.8GR,Pcs,2.00,IDR,1.000.00
8991102385114,TANGO WAFER SUSU VANILA 7.8GR,Pcs,2.00,IDR,1.000.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,3.00,IDR,1.500.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,13.00,IDR,39.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,26.00,IDR,78.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,10.00,IDR,15.000.00
8992760221028,OREO CHOCOLATE 137G,Pcs,1.00,IDR,7.500.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,14.00,IDR,14.000.00
8992775315057,GERY SALUUT MALKIST COKLAT 140GR,Pcs,2.00,IDR,13.000.00
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,1.00,IDR,7.000.00
8992802063029,FITBAR NUTS MEDE 24GR,Pcs,1.00,IDR,4.500.00
8992802063173,FITBAR COKLAT 24GR,Pcs,1.00,IDR,4.500.00
8992802090025,ZEE BAR RS VANILA 20GR,Pcs,1.00,IDR,3.000.00
8992839913175,UBM CHEESY CRACKER 135GR,Pcs,1.00,IDR,4.500.00
8992839991166,UBM CRISPY CRACER BBQ,Pcs,1.00,IDR,3.000.00
8992942120316,KINO SNKIT PIA100 KHJ 75G,Pcs,2.00,IDR,12.000.00
8992942120484,KINO SNKIT PIA100 KEJU 75GR,Pcs,1.00,IDR,6.000.00
8993039111255,REGAL MARIE 125GR,Pcs,1.00,IDR,9.500.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,4.00,IDR,6.000.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,5.00,IDR,7.500.00
8993175532464,RICHESE NABATI WFR KEJU 75GR,Pcs,4.00,IDR,20.000.00
8994075230412,MOMOGI STICK KEJU 12GR,Pcs,5.00,IDR,2.500.00
