Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886008101046,AQUA AQUA GLS 48 X 240ML,Pcs,3.00,IDR,79.500.00
8993190912401,AMIDIS 1500ML,Pcs,3.00,IDR,13.500.00
8999510785465,PRISTINE 600ML,Pcs,28.00,IDR,98.000.00
"",Total AIR MINERAL KEMASAN :,,,IDR,191.000.00
"",,BATERAI,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8886022830243,BATERE ABC BIRU AA R6P 15 V,Pcs,1.00,IDR,2.500.00
"",Total BATERAI :,,,IDR,2.500.00
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
00011,BERAS SWG 5 KG,Pcs,1.00,IDR,65.000.00
0010,BERAS SWG 10 KG,Pcs,2.00,IDR,245.000.00
"",Total BERAS KARUNG :,,,IDR,310.000.00
"",,BISKUIT,,,
ode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
622210609397,BELVITA MADU DAN COKLAT 4X20G,Pcs,1.00,IDR,7.500.00
622300136048,OREO STRAWBERRY CREME 294 G,Pcs,4.00,IDR,6.000.00
622300335809,OREO SOFT CAKE 14G,Pcs,13.00,IDR,19.500.00
622300405588,KRAFT KEJU CAKE 16 G,Pcs,12.00,IDR,18.000.00
622300442477,OREO ICECREAM BLBR 294 G,Pcs,1.00,IDR,1.500.00
622300442507,OREO ICE CREAM 137 G,Pcs,1.00,IDR,7.500.00
622300484095,OREO GOLDEN 294 GRAM,Pcs,3.00,IDR,4.500.00
886001038011,BENG BENG CHOCO MERAH 20 G,Pcs,48.00,IDR,72.000.00
886015427139,TIMTAM CHOCO VAN 120GR,Pcs,1.00,IDR,9.500.00
887229150226,UNIBIS CREAM CRACKER 265GR,Pcs,1.00,IDR,6.500.00
888166336568,NISSIN CRISPY CRACKERS 250G,Pcs,1.00,IDR,8.500.00
888166607132,KHONGGUAN CLASIC 350GR,Pcs,3.00,IDR,48.000.00
888166609594,NISSIN LEMONIA 20GR,Pcs,2.00,IDR,2.000.00
888166989634,MONDE SERENA SNACK 50G,Pcs,3.00,IDR,12.000.00
888166989832,MONDE SOFT PIE STRW 105 G,Pcs,1.00,IDR,8.000.00
991001770301,SELAMAT WFR BLACK VANILA 189GR,Pcs,1.00,IDR,12.500.00
991001770417,SELAMAT WFR COKLAT 18GR,Pcs,11.00,IDR,11.000.00
991001781000,TWISTER CHOCO 20GR,Pcs,2.00,IDR,4.000.00
991001790071,TWISTER VANILA 20GR,Pcs,2.00,IDR,4.000.00
991001790200,TWISTER STRAWBERY 20GR,Pcs,1.00,IDR,2.000.00
991002312135,OATBITS VITAFRUIT 121 G,Pcs,2.00,IDR,13.000.00
991002312142,OATBITS STRAWBERY 121 GRAM,Pcs,2.00,IDR,13.000.00
991002312166,OATBITS KACANG IJO 285 GR,Pcs,3.00,IDR,10.500.00
991002312203,OATBITS ALMOND 285GR,Pcs,1.00,IDR,3.500.00
"",,BISKUIT,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8991002323063,LOVY COEKIES CHOCOBUTTER 30GR,Pcs,1.00,IDR,4.500.00
8991002502604,MAYASI CRISPY CREPES STRWBRY 15GR,Pcs,6.00,IDR,6.000.00
8991102987431,TANGO WAFER CHEESE 7.8GR,Pcs,2.00,IDR,1.000.00
8992716108878,BISKUAT ENERGI 735 GRAM,Pcs,12.00,IDR,36.000.00
8992716109554,BISKUAT ENERGI COKLAT 67G,Pcs,21.00,IDR,63.000.00
8992760121014,OREO SANDW VANILA 294 G,Pcs,12.00,IDR,18.000.00
8992760121083,OREO DOUBLE DELIGHT 294G,Pcs,11.00,IDR,16.500.00
8992760221028,OREO CHOCOLATE 137G,Pcs,3.00,IDR,22.500.00
8992760223022,OREO CHOCO CREME 294 G,Pcs,4.00,IDR,6.000.00
8992775305102,GERY MALKIST SALUT COCONUT 110GR,Pcs,2.00,IDR,13.000.00
8992775311479,GERY CHOCOLATOS DARK 16G,Pcs,14.00,IDR,14.000.00
8992775315095,GERY SALUT MALKIS SWEET CHEESE110G,Pcs,4.00,IDR,28.000.00
8992839003029,UBM MARIE ARROW 145GR,Pcs,3.00,IDR,13.500.00
8992839300012,UBM WAFER COKLAT 260GR,Pcs,1.00,IDR,7.500.00
8992839690083,UBM MARIE COKLAT 35GR,Pcs,1.00,IDR,1.000.00
8992839913083,UBM AYOMA ICED GEM 40GR,Pcs,1.00,IDR,2.000.00
8992839991029,UBM CHOKIZ 80GR,Pcs,1.00,IDR,4.500.00
8992839991050,UBM NUTTER PEANUT CRAC 300GR,Pcs,1.00,IDR,8.500.00
8992942120316,KINO SNKIT PIA100 KHJ 75G,Pcs,1.00,IDR,6.000.00
8992942120347,KINO SNKIT PIA100 CKL 75G,Pcs,2.00,IDR,12.000.00
8993039111255,REGAL MARIE 125GR,Pcs,1.00,IDR,9.500.00
8993039112504,REGAL BISKUIT MARIE 250 G,Pcs,1.00,IDR,18.000.00
8993039242560,REGAL MARIE DUOKRIM VANILA20GR,Pcs,4.00,IDR,6.000.00
8993039242577,REGAL MARIEDUO KRIM COKLAT 20GR,Pcs,2.00,IDR,3.000.00
8993175532891,RICHESE CHOCO WAFR 8 GR,Pcs,5.00,IDR,2.500.00
8993175535878,RICHESSE NABATI KEJU 50GR,Pcs,11.00,IDR,22.000.00
8993175535885,RICHESE NABATI CKLT 50GR,Pcs,4.00,IDR,8.000.00
8993175538541,NEXTAR PINEAPPLE 42GR,Pcs,3.00,IDR,6.000.00
